Avance,Contratista,Departamento - Ciudad,Estado,Extensión de la Obra,Fecha de Finalización,Fecha de Inicio,Fuente de Financiación,Información Adicional,Inversión,Localidades Beneficiadas,Nombre,Plazo de Ejecución (en meses),Tipo
100%,CORSAN CORVIAM CONSTRUCCION S.A.,Central - Asunción,FINALIZADA,600 metros,"Vie, 31 Marzo 2017","Vie, 18 Marzo 2016",Fondo Local,"CONSTRUCCION DE PASOS A DESNIVEL EN LA INTERSECCION AVDA. MADAME LYNCH Y AVDA. AVIADORES DEL CHACO
ID de Licitación: 295522
Nombre de la Licitación: LPI PARA LA CONSTRUCCION DE PASOS A DESNIVEL EN LA INTERSECCION AVDA. MADAME LYNCH Y AVDA. AVIADORES DEL CHACO
Proveedor: CORSAN CORVIAM CONSTRUCCION S.A.
RUC: 80091326-4
Código de Contratación (CC): LI-12013-15-112026
Emisión del CC: 14-09-2015 - 17:05:48
Monto Adjudicado₲ Número de Contrato226
Fecha de Firma del Contrato09-09-2015",Gs. 124.210.752.193,"Asunción, Mariano Roque Alonso, Limpio, Luque, Fernando de la Mora",Superviaducto de Aviadores y Madame Lynch,12,Paso a Desnivel
100%,Consorcio Caaguazú,Caaguazú - Caaguazú,FINALIZADA,34.60 kms,"Sáb, 10 Mayo 2014","Lun, 17 Septiembre 2012",BID,Rehabilitación y Pavimentación del Tramo Caaguazú – Yhú – Vaquería y Accesos (Sección I),Gs. 141.086.387.988,Caaguazú – Yhú – Vaquería,Rehabilitación y Pavimentación del Tramo Caaguazú – Yhú – Vaquería y Accesos.,,Pavimentación Asfáltica
100%,PROEL INGENIERIA,Alto Paraná - San Alberto,FINALIZADA,6.79 kms,"Jue, 04 Agosto 2016","Lun, 10 Agosto 2015",Fondo Local,Pavimentación tipo empedrado del tramo Supercarretera - Gleba 8,Gs. 3.899.264.288,San Alberto,Pavimentación tipo empedrado del tramo Supercarretera - Gleba 8,,Pavimentación Tipo Empedrado
85%,Consorcio Ñumí,Caazapá - Caazapá,EN CONSTRUCCIÓN,"14,30 Kms.","Jue, 04 Diciembre 2014","Jue, 16 Mayo 2013",BIRF,"Llamado MOPC Nº 200/2012 / Contrato S.G. Ministro Nº50/2013
Rehabilitación y Mejoramiento de Caminos No Pavimentados del Departamento de Caazapá.
Mejoramiento y Rehabilitación del Tramo: Caazapá – Boquerón de 14.3 km de longitud y la sustitución de todos los puentes de madera por Hormigón Armado dentro del referido tramo.
Convenio Modificatorio Nº 3 se encuentra en etapa de elaboración.",Gs. 25.819.592.870,"Caazapá, Boquerón",Mejoramiento y Rehabilitación de Caminos no pavimentados del Dpto. de Caazapá (Tramo Caazapá - Boquerón),19,Ripio / Empedrado
100%,Consorcio Roggio - Tecnoedil,Caaguazú - Raúl Arsenio Oviedo,FINALIZADA,"35,70 kms","Jue, 27 Noviembre 2014","Mar, 06 Agosto 2013",BIRF,Mejoramiento y Rehabilitación de Caminos no pavimentados del Dpto. de Caaguazú (Tramo Colonias Unidas-Raúl A. Oviedo-Yjhovy Central-J. E. Estigarribia),Gs. 28.230.256.321,Colonias Unidas-Raúl A. Oviedo-Yjhovy Central-J. E. Estigarribia,Mejoramiento y Rehabilitación de Caminos no pavimentados del Dpto. de Caaguazú (Tramo Colonias Unidas-Raúl A. Oviedo-Yjhovy Central-J. E. Estigarribia),15,Pavimentación Asfáltica
100%,Consorcio Itá Piru,Caazapá - Abaí,FINALIZADA,25 kms,"Mié, 16 Septiembre 2015","Lun, 07 Enero 2013",Fondo Local,Pavimentación tipo empedrado tramo: San Cristóbal - Tuparenda - Tuna. (Grupo 1),Gs. 26.824.536.460,Caazapá - Alto Paraná (San Cristóbal - Abai),Pavimentación tipo empedrado tramo: San Cristóbal - Tuparenda - Tuna. (Grupo 1),32,Pavimentación Asfáltica
97%,MM S.A.,Caaguazú - Carayaó,EN CONSTRUCCIÓN,24.90,"Vie, 08 Enero 2016","Lun, 07 Enero 2013",Fondo Local,"Pavimentación tipo empedrado, tramo Santa Catalina - Alemán Cué. (Grupo 1)",Gs. 47.299.274.531,Carayao,"Pavimentación tipo empedrado, tramo Santa Catalina - Alemán Cué. (Grupo 1)",,Pavimentación Asfáltica
95%,Consorcio Santa Catalina,Guairá - Borja,EN CONSTRUCCIÓN,19.97,"Jue, 09 Junio 2016","Mié, 16 Enero 2013",Fondo Local,Pavimentación tipo empedrado tramo Iturbe - Valle Pe (Rojas Potrero) - Hasta El Puente S/ Río Tebicuarymi (Grupo 1),Gs. 36.338.356.337,Iturbe - Borja,Pavimentación tipo empedrado tramo Iturbe - Valle Pe (Rojas Potrero) - Hasta El Puente S/ Río Tebicuarymi (Grupo 1),,Pavimentación Asfáltica
87%,ILSUNG CONSTRUCTION LTD.,Caazapá - Caazapá,EN CONSTRUCCIÓN,"72,9 Km Ruta; 12,7 Km Accesos","Lun, 22 Mayo 2017","Lun, 02 Junio 2014",BID,"Rehabilitación y Pavimentación de la Ruta N° 8 ""Dr. Blas Garay"" Tramo Caazapá-Yuty y Accesos.
Convenio Modificatorio 2 para ampliación de alcance de obras y plazos fue suscrito en fecha.
En tramite convenio modificatorio 3",Gs. 385.078.538.392,Caazapá - Maciel - Dr. Moisés Bertoni - Yegros - Yuty,"Rehabilitación y Pavimentación de la Ruta N° 8 ""Dr. Blas Garay"" Tramo Caazapá - Yuty y Accesos.",36,Pavimentación Asfáltica
71%,DC Ingeniería S.A.,Caaguazú - Coronel Oviedo,EN CONSTRUCCIÓN,"31,97 Kms.","Dom, 03 Abril 2016","Jue, 21 Febrero 2013",Fondo Local,"Pavimentación tipo empedrado Del tramo Cnel. Oviedo - La Pastora
POLIZA ACTUALIZADO.CONTRATO S.G. MINISTRO N°268/2015 CM N° 1 AL CONTRATO S.G. MINISTRO N°524/2012 FIRMADO EL 02 DE OCTUBRE/2015. EL PRESENTE CM N° 1 MODIFICA EL MONTO DEL CONTRATO ORIGINAL Y AUMENTA EL PLAZO CONTRACTUAL EN 180 DIAS.",Gs. 24.251.626.845,Cnel Oviedo - La Pastora,Pavimentación tipo empedrado Del tramo Cnel. Oviedo - La Pastora,37,Pavimentación Asfáltica
100%,A.R. Consultores,San Pedro - San Estanislao,FINALIZADA,30 metros,"Mar, 30 Septiembre 2014","Lun, 22 Abril 2013",Fondo Local,"Construcción de Puente de H° A° en el tramo Avda. B. Caballero, Santaní - Calle 4000 (A° Tapiracuay)",Gs. 1.196.002.319,San Estanislao,"Construcción de Puente de H° A° en el tramo Avda. B. Caballero, Santaní - Calle 4000 (A° Tapiracuay)",17,Pavimentación Asfáltica
100%,EDIVISA,Guairá - Borja,FINALIZADA,14.93 kilometros,"Jue, 15 Septiembre 2016","Lun, 07 Enero 2013",Fondo Local,Pavimentación asfáltica en el tramo: Ramal A Tebicuarymi (desde Valle Pe) (Grupo 1),Gs. 32.685.764.701,Borja - Tebicuarymi (Guaira - Paraguari),Pavimentación asfáltica en el tramo: Ramal A Tebicuarymi (desde Valle Pe) (Grupo 1),,Pavimentación Asfáltica
100%,Constructora Heisecke,Guairá - Iturbe,FINALIZADA,18.50,"Sáb, 09 Enero 2016","Lun, 07 Enero 2013",Fondo Local,Pavimentación tipo empedrado del tramo: Iturbe - Maciel (Grupo 1),Gs. 42.653.427.314,Iturbe - Maciel (Guaira - Caazapá),Pavimentación tipo empedrado del tramo: Iturbe - Maciel (Grupo 1),,Pavimentación Asfáltica
100%,Arenales S.A.,Central - Villa Elisa,FINALIZADA,1.40 kilometros,"Vie, 22 Enero 2016","Lun, 07 Enero 2013",Fondo Local,Pavimentación tipo empedrado En El tramo: Calle Johannsen (Villa Elisa) (Grupo 1),Gs. 4.944.434.298,Villa Elisa,Pavimentación tipo empedrado En El tramo: Calle Johannsen (Villa Elisa) (Grupo 1),,Pavimentación Asfáltica
95%,Roggio & Hijos S.A.,Canindeyú - Corpus Christi,EN CONSTRUCCIÓN,"42,00 Kms.","Sáb, 13 Mayo 2017","Mar, 12 Agosto 2014",Bonos del Tesoro,Mejoramiento del tramo Cruce Guaraní - Corpus Christi - Pindoty Porã.,Gs. 132.276.451.999,Corpus Christi - Pindoty Porã,Mejoramiento del tramo Cruce Guaraní - Corpus Christi - Pindoty Porã,33,Pavimentación Asfáltica
100%,EDIVISA,Alto Paraná - Mbaracayú,FINALIZADA,24 kilometros,"Mié, 23 Diciembre 2015","Lun, 07 Enero 2013",Fondo Local,Pavimentación asfáltica del tramo: Mbaracayú - Santa Fe del Paraná. (Grupo 2),Gs. 27.373.818.329,Mbaracayu - Santa Fe del Paraná,Pavimentación asfáltica del tramo: Mbaracayú - Santa Fe del Paraná. (Grupo 2),,Pavimentación Asfáltica
60%,Constructora Asunción S.A. y Asociados,Central - Fernando de la Mora,EN CONSTRUCCIÓN,"13,10 Kms.","Lun, 16 Octubre 2017","Lun, 30 Junio 2014",Bonos del Tesoro,Construcción del Acceso Este a la ciudad de Asunción (Avda. Laguna Grande),Gs. 127.166.778.829,San Lorenzo - Fdo. De La Mora - Asunción,Construcción del Acceso Este a la ciudad de Asunción (Avda. Laguna Grande),24,Pavimentación Asfáltica
100%,Consorcio de Pavimentación Rural,Alto Paraná - Naranjal,FINALIZADA,11.80,"Vie, 11 Septiembre 2015","Lun, 07 Enero 2013",Fondo Local,Pavimentación tipo empedrado tramo: Ruta Nº 6 - Raúl Peña (Naranjal). (Grupo 2),Gs. 14.465.750.944,Naranjal,Pavimentación tipo empedrado tramo: Ruta Nº 6 - Raúl Peña (Naranjal),,Pavimentación Tipo Empedrado
61%,Consorcio Gral. Aquino,Amambay - Bella Vista,EN CONSTRUCCIÓN,"76,00 Kms.","Sáb, 03 Junio 2017","Mar, 26 Agosto 2014",Fondo Local,Pavimentación Asfáltica del tramo Empalme ruta 5 - Bella Vista Norte,Gs. 261.694.924.113,Cruce Bella Vista - Bella Vista,Pavimentación Asfáltica del tramo Empalme ruta 5 - Bella Vista Norte,38,Pavimentación Asfáltica
100%,Constructora ECO S.A.,Alto Paraná - San Alberto,FINALIZADA,10.30,"Mié, 28 Septiembre 2016","Lun, 07 Enero 2013",Fondo Local,Pavimentación asfáltica en el tramo: San Alberto - Mbaracayu. (Grupo 2),Gs. 11.383.879.193,San Alberto - Mbaracayu,Pavimentación asfáltica en el tramo: San Alberto - Mbaracayu.,,Pavimentación Asfáltica
100%,Yatyta S.A.,Itapúa - Capitán Meza,FINALIZADA,8,"Dom, 24 Mayo 2015","Lun, 07 Enero 2013",Fondo Local,Pavimentación tipo empedrado Ruta Nº 6 (Cap. Meza 24) - Cap. Meza 16. (Grupo 2),Gs. 8.350.388.111,Cap. Meza,Pavimentación tipo empedrado Ruta Nº 6 (Cap. Meza 24) - Cap. Meza 16.,,Pavimentación Asfáltica
45%,Constructora Heisecke S.A.,Ñeembucú - Alberdi,EN CONSTRUCCIÓN,73 Kms.,"Lun, 02 Julio 2018","Vie, 03 Julio 2015",CAF,"Mejoramiento de la Ruta Departamental tramo. Villeta - Alberdi, Tramo Km. 40 - Alberdi",Gs. 230.761.527.489,Villa Oliva - Alberdi,"Mejoramiento de la Ruta Departamental tramo. Villeta - Alberdi, Tramo Km. 40 - Alberdi",36,Pavimentación Asfáltica
45%,Consorcio Villa Ygatimí,Canindeyú - Villa Ygatimí,EN CONSTRUCCIÓN,88 Kms.,"Dom, 22 Julio 2018","Jue, 23 Julio 2015",Fondo Local,Mejoramiento de la Ruta Departamental tramo: Curuguaty - Villa Ygatimi - Ypejhu,Gs. 300.004.057.124,Curuguaty - Villa Ygatimi - Ypejhu,Mejoramiento de la Ruta Departamental tramo: Curuguaty - Villa Ygatimi - Ypejhu,36,Pavimentación Asfáltica
94%,Consorcio Concret Mix & Asociados,Caaguazú - Vaquería,EN CONSTRUCCIÓN,"57,31 Kms.","Sáb, 11 Agosto 2018","Jue, 04 Septiembre 2014",BID,"Obras Viales para la Ejecución de la Rehabilitación y Pavimentación del Tramo Vaquería - Empalme Ruta N° 10.
Convenio Morificatorio 1",Gs. 244.578.473.833,Vaquería - Curuguaty,Obras Viales para la Ejecución de la Rehabilitación y Pavimentación del Tramo Vaquería-Empalme Ruta N° 10.,40,Pavimentación Asfáltica
96%,Constructora Feldmann S.A.,Itapúa - Yatytay,EN CONSTRUCCIÓN,17 kms,"Sáb, 17 Diciembre 2016","Lun, 18 Febrero 2013",Fondo Local,"Pavimentación tipo empedrado Yatytay - Colonia San Rafael (Incluye Puente Sobre El Arroyo Tembey - Long. 60,94 m). (Grupo 2)",Gs. 32.837.780.381,Yatytay - San Rafael del Paraná,Pavimentación tipo empedrado Yatytay - Colonia San Rafael,,Pavimentación Asfáltica
0%,Ing. Optaciano Gómez Verlangieri,Presidente Hayes - Benjamín Aceval,FINALIZADA,5,"Mar, 08 Diciembre 2015","Lun, 07 Enero 2013",Fondo Local,Pavimentación tipo empedrado tramo: Benjamín Aceval - Cerrito.,Gs. 4.234.395.889,Benjamín Aceval,Pavimentación tipo empedrado tramo: Benjamín Aceval - Cerrito.,,Pavimentación Asfáltica
100%,MOPC,San Pedro - Guayaibí,FINALIZADA,"60,85 metros","Vie, 03 Octubre 2014","Mié, 01 Enero 2014",Fondo Local,"Puente de Hormigón Armado
Construcción de Puente de HºAº en el tramo Luz Bella – Maracaná sobre el Rio Curuguaty'y",Gs. 2.190.600.000,Luz Bella – Maracaná,Puente de Hormigón Armado,8,Puente de Hormigón Armado
100%,Miguel Ángel Chávez,Central - Nueva Italia,FINALIZADA,12,"Jue, 18 Febrero 2016","Lun, 07 Enero 2013",Fondo Local,Pavimentación tipo empedrado En El tramo: Ita - Nueva Italia. (Grupo 2),Gs. 14.007.450.404,Ita - Nueva Italia,Pavimentación tipo empedrado En El tramo: Ita - Nueva Italia.,,Pavimentación Asfáltica
100%,MOPC,Caaguazú - Caaguazú,FINALIZADA,10 metros,"Jue, 31 Julio 2014","Jue, 20 Febrero 2014",Fondo Local,Construcción de Puente de HºAº en el tramo Ruta Nº 7 – 3 de Mayo – Potrero Guayaki sobre el Aº. Segundo (Santa Fe),Gs. 170.093.365,Colonia 3 de Mayo - Potrero Guayakí,Construcción de Puente de HºAº en el tramo Ruta Nº 7,5,Pavimentación Asfáltica
97%,Consorcio Victoria,Paraguarí - Ybytymí,EN CONSTRUCCIÓN,21.45,"Mié, 12 Octubre 2016","Mié, 09 Enero 2013",Fondo Local,Pavimentación tipo empedrado Ybytymi - La Colmena. (Grupo 2),Gs. 31.293.850.290,Ybytymi - La Colmena,Pavimentación tipo empedrado Ybytymi - La Colmena.,,Pavimentación Asfáltica
0%,MOPC,Caaguazú - Caaguazú,FINALIZADA,10 metros,"Jue, 31 Julio 2014","Lun, 10 Febrero 2014",Fondo Local,"Construcción, via administrativa por el Departamento de Puentes y O. A., de un puente mixto de Ho Ao y muros de piedra bruta colocada, en substitución de un puente mixto, superestructura de madera sobre muros de piedra bruta que se encontraba prácticamente colapsado.
El nuevo puente tiene una longitud de 10,00m, un ancho de 5,40m y 4,00m de altura, con fundación directa en lecho rocoso.
Terminación: febrero/2015",Gs. 234.689.488,Caaguazú - Colonia Cantera Boca,Construcción de Puente de HºAº en el tramo Ruta Nº 7 – Cantera Boca – 3ra. Línea sobre el Aº. Yeruti,6,Puente de Hormigón Armado
96%,Consorcio B&B Asociados,Paraguarí - Pirayú,EN CONSTRUCCIÓN,21 kms.,"Vie, 20 Enero 2017","Lun, 07 Enero 2013",Fondo Local,Pavimentación tipo empedrado Pirayú - Paraguarí. (Grupo 2),Gs. 30.437.690.257,Pirayú - Paraguarí,Pavimentación tipo empedrado Pirayú - Paraguarí.,,Pavimentación Asfáltica
100%,MOPC,Caazapá - Abaí,FINALIZADA,12 mts,"Dom, 22 Febrero 2015","Mar, 26 Agosto 2014",Fondo Local,"Puente construido vía administrativa por el Departamento de Puentes y O. A.,con fundación de tubulones, pilares y vigas de apoyo de Ho Ao, vigas pretensadas, prelosas, placas de defensa y barandas prefabricadas; losas, guardarruedas y pantallas de Ho Ao in situ.
Longitud: 12m Ancho: 9,00m
Terminado en: septiembre/2015",Gs. 677.263.335,Abaí - Tuparendá,Construcción de Puente de HºAº en el tramo Abaí – Tuparenda sobre el Aº. Ita,18,Puente de Hormigón Armado
100%,MOPC,Central - Itauguá,FINALIZADA,8,"Jue, 29 Enero 2015","Vie, 05 Diciembre 2014",Fondo Local,"Construcción de Puente de HºAº en el tramo Distrito de Itauguá (Zona Norte) sobre el Aº. Yukyrymi.
Puente construido con convenio con la municipalidad de Itaugua, quienes construyeron la infraestructura con tubulones y viga cabezal de Hormigón Armado, y muros de piedra bruta colocada.
El Departamento de Puentes y O. A. se encargó de la superestructura, con vigas pretensadas de hormigón armado , losa y guardarruedas de hormigón armado in situ y barandas prefabricadas.
Long.= 8m A=5.4m",Gs. 96.073.490,Itauguá,Puente de Hormigón Armado,2,Puente de Hormigón Armado
71%,Consorcio Vielk,Cordillera - Juan de Mena,EN CONSTRUCCIÓN,22.82 kms,"Mar, 20 Diciembre 2016","Lun, 07 Enero 2013",Fondo Local,Pavimentación tipo empedrado del tramo Colonia Regina Marecos - Cleto Romero. (Grupo 3),Gs. 48.465.841.097,Juan de Mena,Pavimentación tipo empedrado del tramo Colonia Regina Marecos - Cleto Romero.,,Pavimentación Tipo Empedrado
0%,CIV S.A.,San Pedro - San Estanislao,FINALIZADA,15,"Mar, 11 Agosto 2015","Lun, 07 Enero 2013",Fondo Local,Pavimentación tipo empedrado del tramo Unión - Empalme Ruta 3. (Grupo 3),Gs. 13.022.531.433,Unión - San Estanislao,Pavimentación tipo empedrado del tramo Unión - Empalme Ruta 3.,,Pavimentación Asfáltica
